Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
21.4,67.9,10.9,13.7,16.1,5.8,1.02,12.7,241,Good
39.8,88.8,39.5,50.1,18.8,6.9,1.38,6.0,418,Moderate
29.2,60.4,20.9,32.5,34.9,4.5,2.0,8.1,406,Moderate
23.4,77.4,25.1,28.6,26.1,5.7,1.09,12.0,201,Good
21.5,79.0,2.7,8.6,24.2,5.2,1.0,10.3,282,Good
23.7,52.4,0.3,4.5,18.7,6.3,1.04,10.7,313,Good
46.4,102.3,11.9,21.2,35.9,15.2,2.91,6.0,776,Hazardous
22.8,66.7,21.5,34.5,29.1,7.5,1.74,5.3,346,Moderate
29.5,77.2,27.9,44.4,26.3,23.1,1.68,7.7,586,Poor
33.7,102.4,36.7,64.5,31.5,12.3,1.57,4.1,722,Poor
27.7,51.1,16.1,20.2,26.0,6.0,0.99,10.6,562,Good
23.4,65.6,8.9,10.0,27.0,6.3,1.03,10.5,322,Good
31.7,51.8,30.9,45.9,21.7,7.4,1.08,6.9,460,Moderate
25.6,79.9,2.3,5.6,22.3,7.1,0.87,10.5,516,Good
38.0,70.6,100.0,117.5,32.4,7.0,2.4,4.1,477,Poor
34.2,67.0,12.5,24.2,23.8,6.9,1.51,5.6,518,Moderate
36.7,75.1,19.7,40.7,38.1,26.6,2.67,11.5,875,Hazardous
30.0,78.1,38.4,55.7,30.8,16.4,1.45,5.9,739,Poor
22.6,72.0,40.4,46.2,14.6,4.5,1.04,14.8,270,Good
26.8,91.1,16.6,21.3,25.8,6.4,1.72,7.7,571,Moderate
25.3,75.6,2.8,5.9,23.8,6.4,1.12,10.1,299,Good
30.2,96.8,47.1,76.3,34.5,18.7,2.86,5.8,582,Hazardous
33.3,82.6,1.2,5.6,30.1,5.9,1.32,5.9,310,Moderate
20.2,65.4,6.2,13.1,26.1,8.5,0.94,11.0,338,Good
39.0,92.4,1.7,3.6,31.7,4.8,1.19,7.0,428,Moderate
22.2,66.7,1.6,8.2,14.1,7.8,0.99,10.4,544,Good
23.8,77.4,5.1,10.1,13.0,7.9,0.84,10.1,315,Good
18.0,44.7,18.5,22.8,21.2,9.6,0.99,16.0,470,Good
31.4,93.4,11.6,27.1,19.2,16.0,1.77,8.7,383,Moderate
17.8,84.3,7.5,23.0,27.7,7.9,1.35,7.5,315,Moderate
28.7,55.1,20.5,23.6,17.3,2.6,0.86,11.9,347,Good
28.2,61.2,1.2,10.9,22.7,7.1,1.86,8.6,501,Moderate
25.6,57.4,2.2,6.4,12.2,5.0,1.19,18.9,392,Good
36.4,80.3,103.0,106.4,26.5,22.3,2.38,3.7,844,Hazardous
33.7,83.7,12.7,18.9,36.0,15.0,2.56,4.6,679,Poor
29.6,76.1,31.0,48.7,51.2,9.3,2.7,2.9,788,Hazardous
39.8,82.0,14.1,22.2,32.7,12.8,1.26,5.3,457,Moderate
37.1,47.9,18.1,26.7,20.4,14.7,1.53,10.3,467,Moderate
28.5,47.7,0.0,5.3,26.2,2.6,1.13,12.2,474,Good
28.3,72.7,56.8,70.2,34.4,10.3,1.75,5.1,486,Poor
28.7,53.9,18.3,20.4,25.7,7.5,0.98,11.2,406,Good
31.2,72.8,2.2,11.3,25.6,12.6,1.88,3.9,432,Poor
25.7,51.6,17.3,20.6,16.9,7.5,1.07,10.7,454,Good
36.8,69.6,21.8,35.1,36.0,4.3,2.45,4.8,729,Poor
42.1,74.2,0.7,16.8,32.9,31.7,2.73,3.3,526,Hazardous
24.9,64.4,10.9,15.2,14.0,4.4,1.12,10.5,354,Good
29.5,69.8,5.9,21.1,27.6,18.9,1.82,3.6,694,Poor
35.9,77.2,14.9,21.1,29.4,12.3,1.5,5.4,489,Moderate
27.3,76.4,11.8,20.4,12.9,6.9,1.04,12.7,468,Good
22.9,51.6,3.3,7.0,12.3,5.8,0.88,12.0,349,Good
28.0,65.1,3.5,5.2,18.7,7.9,0.9,10.7,458,Good
44.2,63.5,120.8,137.5,38.7,22.6,1.41,3.4,707,Poor
26.3,62.2,26.1,32.7,19.9,8.3,1.09,10.3,259,Good
32.8,53.2,8.1,24.5,26.3,11.2,1.61,5.4,363,Moderate
42.7,70.1,123.7,128.1,28.7,2.4,1.89,4.2,765,Poor
22.9,64.5,2.3,8.8,11.3,7.2,1.13,11.2,361,Good
28.2,74.4,3.0,9.7,15.6,3.1,1.01,13.2,419,Good
29.0,85.7,28.2,39.8,25.4,4.5,1.62,5.1,699,Moderate
27.5,61.0,41.9,58.8,26.0,12.0,1.6,5.6,488,Moderate
26.7,41.8,1.5,6.5,25.5,2.5,1.07,10.5,303,Good
21.4,49.2,5.4,12.6,20.1,4.1,1.08,14.5,351,Good
25.8,78.2,14.0,20.2,23.3,6.6,1.01,18.8,576,Good
24.1,39.7,9.6,14.8,23.9,4.6,0.92,13.4,350,Good
25.6,51.5,35.5,40.7,32.2,-1.7,1.35,7.3,378,Moderate
30.4,77.0,10.0,14.8,15.5,3.1,0.9,10.1,386,Good
41.4,74.5,12.0,37.6,46.8,13.8,3.61,4.3,632,Hazardous
34.1,79.9,42.9,48.9,41.9,20.4,2.03,4.8,515,Poor
27.7,79.4,10.8,16.8,14.0,7.7,0.92,10.3,348,Good
27.0,54.6,3.7,10.1,15.1,3.1,0.85,15.9,312,Good
26.2,51.9,9.4,13.7,22.5,4.9,1.01,10.1,449,Good
32.3,78.2,25.8,39.1,31.5,7.0,1.5,5.2,380,Moderate
22.5,58.3,25.8,32.3,26.9,3.3,0.97,10.3,501,Good
30.2,72.3,13.7,22.2,29.8,10.1,1.74,9.7,555,Poor
40.8,82.2,2.4,14.3,29.8,10.6,1.04,5.1,481,Moderate
25.6,57.7,10.0,15.8,22.1,2.5,0.98,15.4,470,Good
33.9,63.5,55.1,78.8,41.8,18.9,1.99,3.6,454,Poor
30.3,69.4,41.8,51.2,22.5,5.8,1.57,6.1,434,Moderate
26.8,55.2,3.6,8.0,20.7,5.6,0.76,12.2,575,Good
37.7,93.3,115.9,145.3,33.2,16.2,2.0,8.2,374,Poor
31.1,67.6,2.2,5.5,11.3,0.8,1.12,10.8,344,Good
27.5,92.0,8.2,20.7,31.2,10.1,1.42,10.2,350,Moderate
30.5,58.2,11.8,24.8,22.9,15.9,1.52,5.1,431,Moderate
34.7,54.2,64.0,74.2,18.1,13.7,1.57,9.6,592,Moderate
32.2,58.7,5.0,15.0,33.9,7.3,1.64,6.8,516,Moderate
39.3,59.7,78.3,94.6,42.2,17.3,2.19,3.5,582,Poor
22.4,52.4,2.8,11.1,19.1,6.3,0.83,10.3,339,Good
26.2,60.3,19.1,22.0,15.0,5.1,0.84,13.5,466,Good
23.2,40.5,3.0,6.5,21.1,6.4,0.94,11.4,337,Good
30.3,88.5,23.4,35.8,19.3,6.5,1.37,6.9,737,Moderate
19.7,73.8,1.4,6.7,20.1,4.3,1.1,14.2,532,Good
30.8,84.4,34.2,50.3,27.8,16.1,1.3,5.1,416,Moderate
27.8,42.0,20.7,24.5,18.2,2.9,0.89,13.2,253,Good
22.9,67.6,4.0,9.7,24.3,5.6,0.9,13.6,422,Good
35.4,51.9,48.4,53.0,21.0,10.4,1.53,6.6,628,Moderate
24.1,52.5,8.2,9.5,22.3,3.5,0.82,11.5,511,Good
33.0,101.7,26.9,27.1,39.6,14.3,2.87,10.1,908,Hazardous
21.5,72.6,4.5,9.5,22.4,4.7,0.98,12.5,391,Good
33.2,76.6,6.9,23.1,31.0,17.1,2.06,4.8,804,Poor
35.5,100.3,3.2,22.2,38.7,16.2,1.74,7.9,717,Poor
42.5,100.6,38.5,52.1,41.3,32.1,2.45,3.0,592,Hazardous
26.3,83.1,29.7,48.0,33.0,8.2,1.56,6.0,579,Moderate
35.1,80.8,47.6,59.2,27.1,12.9,1.49,6.4,611,Moderate
25.5,59.6,5.6,12.0,11.6,7.6,1.01,12.4,582,Good
29.3,44.4,1.4,5.7,14.4,2.3,0.98,10.1,284,Good
28.6,78.6,56.8,66.2,24.5,12.1,1.12,5.6,340,Moderate
26.0,45.3,5.3,12.4,27.4,7.2,0.78,18.9,546,Good
24.4,48.1,14.8,19.8,24.5,4.3,0.87,12.0,381,Good
29.5,79.8,12.8,29.8,33.2,13.3,1.1,5.9,389,Moderate
18.9,43.7,3.3,12.7,25.7,5.8,1.78,5.4,432,Moderate
22.8,81.2,13.0,18.9,18.5,6.8,1.04,15.0,215,Good
32.6,61.2,66.7,75.0,20.2,7.4,1.86,6.3,639,Moderate
24.9,82.2,19.5,27.9,25.6,2.0,1.54,8.1,458,Moderate
24.3,62.5,1.1,9.6,20.8,7.0,1.08,10.9,567,Good
44.0,84.1,39.5,73.0,38.9,12.9,2.48,4.0,530,Hazardous
25.5,73.0,11.6,16.3,11.2,3.0,1.06,11.4,494,Good
23.1,63.6,9.9,15.5,18.1,3.9,0.98,15.0,205,Good
35.7,91.0,49.9,50.3,19.0,15.4,1.94,4.2,539,Poor
22.5,59.8,0.7,12.6,30.5,5.2,1.37,8.8,718,Moderate
17.2,75.7,22.8,29.4,23.7,2.3,1.11,10.7,389,Good
34.0,90.1,34.4,40.7,35.8,6.2,1.42,8.8,510,Moderate
23.8,44.4,7.5,11.9,23.1,3.1,0.9,11.5,602,Good
28.0,83.9,20.9,37.3,21.3,11.1,1.56,5.7,442,Moderate
24.0,60.3,1.5,8.1,22.2,6.0,1.14,11.1,301,Good
29.5,83.3,4.7,22.7,35.9,14.7,2.97,5.2,631,Poor
29.9,82.5,12.0,25.6,37.5,11.2,1.63,3.8,597,Poor
28.2,90.6,17.2,27.5,32.3,17.4,2.07,9.1,680,Poor
24.0,75.7,1.6,5.8,24.7,2.3,1.08,11.0,355,Good
38.7,71.9,5.4,31.0,50.3,15.6,2.81,6.4,503,Hazardous
34.3,78.8,2.4,14.6,34.4,9.2,1.79,4.3,681,Poor
24.4,56.1,3.7,13.4,27.5,7.4,1.85,8.1,382,Moderate
26.8,42.1,5.4,11.7,20.1,4.5,0.85,13.1,276,Good
26.0,38.6,16.6,22.7,22.0,2.8,1.22,12.9,389,Good
30.1,72.0,14.4,19.7,22.7,10.7,1.46,6.4,372,Moderate
22.1,75.2,3.2,8.8,14.8,3.6,1.03,15.2,424,Good
38.5,81.3,43.9,52.4,39.8,8.6,1.55,3.5,670,Poor
24.7,59.9,2.4,8.0,23.1,6.9,1.06,11.4,356,Good
26.1,63.1,15.8,19.1,22.7,4.6,0.89,10.5,249,Good
39.8,63.6,5.0,19.4,25.1,7.4,2.27,4.5,681,Poor
40.4,92.4,92.0,112.9,42.2,26.4,2.32,3.7,633,Hazardous
32.4,95.7,0.7,5.8,43.0,21.2,1.87,3.9,525,Poor
39.2,111.2,25.7,46.9,45.6,25.2,2.25,4.5,692,Hazardous
21.5,83.1,19.3,25.4,12.9,3.2,1.13,10.5,335,Good
23.2,39.6,0.8,7.3,21.7,5.8,0.91,10.9,438,Good
23.0,76.7,4.3,12.0,18.3,0.7,1.07,12.9,270,Good
24.6,84.2,5.2,19.2,22.5,9.0,1.48,7.3,623,Moderate
36.1,69.4,8.3,18.9,21.2,16.6,1.1,5.1,602,Moderate
29.0,64.4,23.5,23.1,35.1,17.3,2.13,5.0,560,Poor
26.4,75.1,3.5,8.5,25.1,2.1,0.96,13.4,543,Good
38.3,86.8,38.0,50.8,22.5,7.1,1.41,5.4,311,Moderate
33.5,58.9,12.1,29.4,49.8,16.7,2.02,3.1,678,Hazardous
24.8,46.4,0.7,5.7,15.7,4.7,0.98,10.5,523,Good
27.1,81.7,14.9,19.8,19.1,5.5,0.92,11.9,242,Good
40.0,88.7,29.3,46.0,45.1,20.7,2.03,3.2,821,Hazardous
29.8,58.4,27.3,33.4,12.1,8.3,0.9,10.7,410,Good
26.2,56.5,20.4,28.2,14.2,-0.4,0.88,12.4,427,Good
49.1,93.0,57.2,85.2,36.9,22.3,2.77,3.6,623,Hazardous
35.0,82.9,27.4,32.6,25.5,7.6,1.5,7.2,344,Moderate
40.9,75.9,80.5,74.7,34.0,27.4,3.48,3.5,805,Hazardous
37.1,100.9,3.5,19.9,46.0,18.4,2.08,6.6,473,Poor
28.2,65.2,30.0,40.9,15.7,9.2,1.5,5.4,541,Moderate
28.1,91.6,6.4,13.5,37.9,10.0,1.26,7.2,331,Moderate
42.6,92.1,2.9,12.8,34.5,12.0,2.06,6.8,562,Poor
23.0,44.6,23.1,28.1,16.2,9.0,0.95,10.0,437,Good
18.8,76.1,14.9,21.5,14.5,3.8,0.86,11.1,342,Good
37.8,97.2,0.6,24.6,37.1,11.7,1.13,7.7,803,Poor
33.9,75.6,9.0,20.9,32.1,20.4,2.36,3.4,511,Poor
25.2,60.1,1.1,2.4,14.7,6.1,1.04,12.2,384,Good
27.2,75.6,13.5,21.6,27.1,16.2,1.77,5.5,396,Moderate
31.6,74.8,28.5,45.8,25.4,16.3,2.29,4.7,782,Poor
28.3,75.6,2.3,12.2,30.8,9.7,1.64,6.0,611,Moderate
28.9,91.1,12.3,22.6,29.5,6.3,1.21,6.3,351,Moderate
28.8,76.6,17.2,34.6,27.9,6.5,1.44,5.4,405,Moderate
29.3,79.8,3.9,13.9,21.9,6.4,1.72,7.0,337,Moderate
29.4,91.6,30.7,43.7,31.1,5.4,1.67,7.6,565,Moderate
25.6,66.0,0.8,6.7,16.0,7.0,0.84,11.7,431,Good
26.2,60.3,13.4,17.3,26.7,7.0,1.23,10.9,308,Good
26.2,80.8,10.2,16.3,13.9,3.2,0.86,12.0,328,Good
28.2,62.7,0.1,7.5,17.4,4.7,0.87,12.0,528,Good
20.1,47.4,1.8,4.3,24.1,5.8,0.89,11.4,551,Good
33.9,94.5,8.9,15.1,33.2,11.7,1.89,4.3,680,Poor
25.1,43.3,23.0,28.6,24.2,3.9,1.01,16.0,392,Good
27.7,62.4,0.2,4.6,15.3,5.7,1.06,13.3,239,Good
21.8,73.5,11.6,14.8,24.2,5.9,0.96,10.8,463,Good
47.3,88.4,104.9,127.4,44.6,21.7,2.71,8.2,648,Hazardous
35.1,51.8,4.7,14.9,14.8,10.5,1.25,6.8,352,Moderate
29.9,60.8,88.5,93.5,16.5,4.9,1.7,7.1,454,Moderate
22.8,92.7,22.5,44.6,27.9,26.1,2.32,4.3,732,Poor
32.2,58.5,2.2,19.5,27.8,7.9,1.77,7.8,356,Moderate
30.4,98.7,21.6,29.6,35.1,12.7,2.13,4.0,625,Poor
20.3,56.2,21.8,28.8,18.9,2.7,0.96,10.2,335,Good
29.2,65.3,30.6,34.2,22.6,6.0,1.11,16.0,334,Good
32.1,100.8,51.2,69.4,48.2,17.7,2.37,2.6,796,Hazardous
33.3,70.1,55.1,72.7,40.5,30.7,2.12,4.9,612,Hazardous
37.5,49.5,9.5,14.9,21.7,7.3,1.64,5.4,654,Moderate
25.6,68.2,8.0,21.8,27.9,9.9,1.6,5.2,579,Moderate
31.2,63.7,24.8,34.8,28.0,5.7,1.43,7.3,616,Moderate
22.2,60.1,19.6,22.5,17.6,7.5,0.97,12.1,558,Good
29.1,77.1,61.8,76.5,28.5,8.4,1.71,5.7,591,Moderate
30.2,62.7,3.8,11.4,13.6,7.5,1.02,15.0,270,Good
23.8,67.9,15.3,19.2,25.0,5.1,0.97,10.0,366,Good
25.9,56.0,36.7,38.0,14.4,6.7,1.0,10.4,572,Good
31.0,80.4,3.3,13.9,29.6,7.1,1.31,7.1,353,Moderate
29.6,54.4,9.0,12.0,14.3,5.1,1.08,11.1,438,Good
22.3,65.4,4.8,6.2,24.6,5.7,1.11,17.6,395,Good
29.0,39.7,8.9,16.2,26.2,4.2,0.97,15.0,250,Good
42.5,108.2,109.2,116.8,43.5,21.2,2.07,4.6,741,Hazardous
26.0,86.8,85.4,95.8,24.8,3.9,1.23,5.4,481,Moderate
20.7,66.4,26.3,29.6,23.2,0.8,0.98,14.4,520,Good
37.6,80.6,8.5,17.8,25.0,15.2,1.65,4.1,768,Poor
28.7,63.9,13.5,25.3,16.2,10.9,1.17,6.3,478,Moderate
29.9,86.3,8.3,19.9,21.0,7.9,1.44,9.1,487,Moderate
31.5,53.9,2.5,10.8,29.9,12.7,1.58,5.3,395,Moderate
22.5,67.5,4.9,8.1,24.6,3.6,0.97,14.2,471,Good
24.6,49.7,25.1,26.5,16.4,7.9,1.22,11.2,236,Good
37.0,80.1,35.2,49.4,41.1,21.2,1.84,5.3,469,Poor
26.1,54.5,1.5,5.8,17.2,3.1,0.98,17.9,327,Good
26.8,91.8,5.1,10.5,28.3,7.2,1.31,9.6,376,Moderate
20.1,54.3,10.1,12.2,27.1,0.6,1.12,10.1,474,Good
35.1,95.2,39.8,74.7,43.3,30.7,2.55,5.2,610,Hazardous
17.7,75.2,3.5,8.0,18.6,2.0,1.04,13.0,593,Good
41.6,100.7,156.7,166.2,38.7,24.5,1.96,2.8,888,Hazardous
55.9,87.8,33.9,52.7,28.6,17.5,2.51,2.9,834,Hazardous
41.7,93.9,8.3,22.4,36.1,22.3,2.06,3.8,497,Poor
22.6,75.1,0.1,5.2,11.7,7.7,0.94,11.4,264,Good
34.9,51.8,31.4,40.1,19.6,12.0,1.46,6.0,634,Moderate
31.5,62.0,75.4,82.5,22.7,19.2,1.55,5.9,642,Moderate
35.7,79.1,38.0,55.5,25.6,17.0,2.75,2.8,821,Hazardous
24.0,45.0,1.9,7.1,26.1,5.2,1.15,10.9,265,Good
24.0,67.8,1.3,7.0,15.6,3.0,0.98,12.1,415,Good
44.5,79.6,41.4,53.1,38.4,21.8,2.44,4.7,837,Hazardous
28.3,63.1,59.9,68.3,20.7,0.0,1.22,5.1,399,Moderate
30.6,72.7,5.2,8.5,26.0,12.3,1.1,6.1,493,Moderate
24.2,42.1,1.7,7.3,14.0,8.2,1.13,10.3,258,Good
32.2,55.9,10.8,18.0,21.9,0.5,1.59,8.5,476,Moderate
21.8,88.6,1.7,13.9,29.4,10.8,1.66,6.2,541,Moderate
26.8,50.5,3.5,7.3,12.3,4.8,1.15,12.3,262,Good
24.8,39.8,58.4,68.2,26.5,3.7,0.93,16.5,397,Good
34.3,102.4,38.8,58.4,40.4,12.8,2.09,2.7,811,Hazardous
21.6,61.6,1.1,6.8,16.2,5.9,1.01,15.6,398,Good
37.0,71.8,23.2,38.6,35.4,22.9,1.82,3.4,516,Poor
32.9,69.3,13.3,18.8,32.4,8.6,1.6,5.2,463,Moderate
22.1,54.0,10.6,15.4,13.9,8.9,1.0,10.5,265,Good
31.4,76.2,4.6,20.9,26.2,11.3,1.49,6.8,296,Moderate
24.7,71.6,26.6,34.2,24.8,3.2,1.06,10.6,596,Good
22.6,76.4,15.6,18.6,24.2,4.7,1.04,12.6,430,Good
38.8,90.1,63.2,69.5,44.7,23.5,2.35,3.5,771,Hazardous
38.8,65.2,3.4,14.3,33.0,15.2,1.76,3.9,526,Poor
24.0,39.1,5.1,14.0,14.8,2.0,1.02,10.1,242,Good
40.0,63.6,83.0,114.7,49.1,15.5,2.53,2.9,767,Hazardous
41.2,93.0,24.2,44.3,33.9,12.6,2.09,5.3,732,Poor
26.2,46.4,34.2,40.9,26.1,7.2,1.13,12.5,358,Good
32.8,90.8,3.6,15.0,33.4,25.2,1.6,4.0,643,Poor
32.7,62.6,50.5,66.6,31.5,9.2,1.26,7.1,473,Moderate
24.1,74.7,5.1,12.1,10.5,6.4,1.07,11.0,454,Good
26.5,78.9,6.3,18.5,34.9,11.6,1.95,5.0,555,Moderate
27.8,53.7,7.8,16.9,29.7,7.9,1.31,5.6,613,Moderate
21.5,65.3,13.8,19.2,12.5,5.7,1.05,11.2,230,Good
26.5,64.6,36.9,37.9,20.8,5.0,0.98,13.0,359,Good
27.7,72.3,40.7,52.1,16.5,6.3,0.98,10.1,338,Good
36.8,60.0,10.1,30.6,27.6,8.9,1.73,3.7,762,Poor
29.8,91.3,3.6,10.8,34.6,14.0,1.09,7.0,649,Moderate
19.7,47.2,3.0,11.0,12.5,5.9,1.12,24.8,259,Good
35.0,81.6,52.5,65.4,32.5,5.0,1.59,8.2,624,Moderate
25.0,50.9,4.9,11.4,23.4,2.8,1.1,13.7,196,Good
30.4,102.2,24.6,30.2,35.0,19.3,1.93,5.5,758,Poor
36.5,78.5,4.7,11.3,30.3,13.9,1.33,6.5,412,Moderate
41.5,68.2,3.4,15.4,24.5,6.4,1.38,4.8,748,Poor
33.2,92.5,20.0,35.6,37.4,6.9,1.62,4.1,655,Poor
37.2,111.3,0.2,8.8,31.9,18.5,2.12,7.7,753,Poor
26.0,71.5,31.4,34.6,21.3,3.9,0.97,12.7,463,Good
22.6,59.2,30.8,37.0,14.6,2.0,1.01,11.7,284,Good
36.1,70.2,19.1,37.6,27.8,20.7,2.21,3.9,454,Poor
34.9,57.0,10.2,23.2,21.0,5.3,1.59,8.1,612,Moderate
41.4,82.4,12.6,27.3,41.2,9.1,1.91,4.3,471,Poor
25.7,70.3,0.7,5.4,14.0,10.0,0.91,11.1,374,Good
41.4,79.4,28.4,40.4,28.0,17.8,1.15,6.4,538,Moderate
27.3,78.1,8.6,7.8,13.8,5.6,1.06,11.0,447,Good
33.5,110.4,34.0,49.8,30.4,2.6,2.06,4.2,706,Poor
29.0,65.3,3.5,6.1,8.5,2.5,1.13,14.1,319,Good
24.7,87.2,15.5,25.1,33.3,17.7,2.27,5.1,670,Poor
23.6,70.0,15.2,17.8,22.2,5.5,1.11,11.5,482,Good
25.8,68.6,18.1,26.0,25.7,5.7,0.81,10.2,351,Good
20.3,63.0,21.7,24.1,16.5,4.3,0.89,17.1,191,Good
26.3,54.7,2.0,8.2,27.9,3.4,1.05,17.0,330,Good
37.4,77.5,14.6,21.9,28.2,6.5,1.09,5.8,642,Moderate
35.5,111.3,38.0,50.8,38.4,11.3,2.09,3.2,497,Hazardous
34.4,68.6,14.6,20.6,28.4,6.4,1.36,7.2,412,Moderate
25.3,47.4,70.7,84.8,22.4,8.2,1.59,13.2,587,Moderate
24.6,89.2,4.1,16.2,32.0,2.6,1.83,3.9,480,Poor
31.3,70.5,13.7,23.4,28.6,10.6,1.69,5.9,647,Moderate
32.0,89.4,3.6,17.4,21.8,15.8,1.34,5.4,325,Moderate
33.3,73.0,7.0,23.0,24.2,6.6,1.83,9.1,734,Moderate
39.0,75.2,23.9,41.7,23.9,12.7,1.91,9.4,812,Poor
15.5,64.8,19.6,23.4,25.5,4.6,0.91,11.1,230,Good
35.5,79.5,19.1,40.9,41.3,5.0,2.0,7.0,650,Poor
33.7,54.1,5.2,15.5,34.5,6.8,1.5,5.4,367,Moderate
22.1,53.8,6.9,19.6,18.8,5.7,1.65,9.6,457,Moderate
24.0,45.3,20.8,25.7,12.9,3.6,0.77,13.4,346,Good
26.4,51.5,24.8,27.2,21.8,3.7,0.93,13.7,215,Good
28.4,57.0,5.6,11.4,23.9,4.4,0.96,11.3,370,Good
23.9,44.8,1.0,4.7,26.0,3.5,1.02,10.6,262,Good
25.2,75.4,7.6,14.2,30.4,2.9,1.46,6.0,536,Moderate
27.7,69.1,13.6,19.1,21.6,4.6,1.07,10.5,231,Good
27.1,47.0,1.2,2.7,12.5,4.8,0.96,10.4,591,Good
31.6,82.6,34.2,38.6,20.8,7.6,1.83,10.4,477,Moderate
28.0,45.1,12.5,13.4,26.1,6.5,0.94,10.3,409,Good
24.1,70.9,5.0,9.7,17.4,2.2,0.97,13.7,366,Good
29.3,67.5,1.9,5.0,12.1,4.5,1.12,11.0,576,Good
27.5,68.3,0.4,6.2,27.0,9.3,1.12,11.6,465,Good
25.9,59.9,2.4,6.1,31.7,13.9,1.47,5.8,388,Moderate
44.3,61.7,55.0,66.4,32.7,13.1,1.82,4.1,614,Poor
18.5,54.0,5.2,7.7,22.7,3.9,0.86,14.1,415,Good
23.1,43.9,5.9,8.1,20.4,5.4,1.06,11.1,564,Good
37.2,80.5,35.6,44.6,34.2,24.1,2.17,6.3,607,Poor
41.5,106.1,2.5,16.1,41.6,22.9,2.33,9.7,629,Hazardous
29.2,72.1,25.5,32.3,13.3,5.7,1.08,10.9,358,Good
20.2,40.4,3.6,13.5,20.5,5.4,1.03,11.9,475,Good
32.7,94.8,7.8,15.2,34.1,9.8,1.63,5.4,392,Moderate
31.1,68.6,32.4,43.0,22.2,14.1,2.06,3.9,417,Poor
26.0,88.4,14.3,31.1,35.1,16.7,2.26,3.9,745,Poor
45.0,76.7,15.8,21.9,45.2,24.1,2.91,11.0,808,Hazardous
34.5,78.6,20.7,37.6,26.7,14.1,2.35,4.6,702,Poor
50.1,108.2,43.1,63.3,53.7,15.2,1.94,7.6,722,Hazardous
33.0,87.8,18.1,27.3,19.4,12.2,1.78,5.2,529,Moderate
37.4,105.6,22.8,44.9,31.1,9.5,2.68,3.6,563,Poor
31.0,65.1,7.6,8.9,23.4,4.2,1.11,13.7,580,Good
32.0,78.9,22.4,29.9,27.5,11.8,1.48,7.9,444,Moderate
36.4,115.7,112.5,121.6,33.0,17.2,2.83,3.5,560,Hazardous
21.6,75.4,32.4,44.1,34.8,15.7,1.09,3.5,580,Poor
20.0,74.9,8.2,15.3,21.1,6.2,1.04,11.7,242,Good
24.7,49.4,15.5,21.2,21.7,4.8,0.94,10.6,389,Good
34.4,65.9,44.9,62.7,50.5,9.1,2.37,4.5,574,Hazardous
30.9,62.0,3.5,7.3,31.0,10.4,1.36,5.0,297,Moderate
33.3,54.3,21.3,33.9,23.6,2.9,1.35,5.2,585,Moderate
26.5,60.4,14.5,17.0,23.4,8.0,1.13,12.5,396,Good
41.4,82.2,73.6,89.8,35.1,13.3,2.84,4.1,620,Hazardous
